By-election date,Writ date,ONS ID,ONS region ID,Constituency name,County name,Region name,Country name,Constituency type,Declaration time,Member first name,Member surname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,BRX,UKIP,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
03/12/2015,02/11/2015,E14000871,E12000002,Oldham West and Royton,,North West,England,Borough,,Jim,McMahon,M,Lab hold,Lab,UKIP,70545,27706,74,10722,2596,17209,1024,0,6487,249,0,0,0,0,0,0,0,141,0
05/05/2016,24/03/2016,W07000074,W92000004,Ogmore,,Wales,Wales,County,,Christopher,Elmore,M,Lab hold,Lab,UKIP,55027,23532,77,8575,2956,12383,702,0,3808,0,0,3683,0,0,0,0,0,0,0
05/05/2016,24/03/2016,E14000921,E12000003,"Sheffield, Brightside and Hillsborough",,Yorkshire and The Humber,England,Borough,,Gill,Furniss,F,Lab hold,Lab,UKIP,68439,22581,119,9590,1267,14087,1385,0,4497,938,0,0,0,0,0,0,0,407,0
16/06/2016,10/05/2016,E14000998,E12000007,Tooting,,London,England,Borough,,Rosena,Allin-Khan,F,Lab hold,Lab,Con,74701,31999,49,6357,11537,17894,820,0,507,830,0,0,0,0,0,0,0,411,0
20/10/2016,15/09/2016,E14000548,E12000003,Batley and Spen,,Yorkshire and The Humber,England,Borough,,Tracy,Brabin,F,Lab hold,Lab,ED,79781,20393,171,16537,0,17506,0,0,0,0,0,0,0,0,0,0,0,2887,0
20/10/2016,15/09/2016,E14001046,E12000008,Witney,,South East,England,County,,Robert,Courts,M,Con hold,Con,LD,82277,38455,38,5702,17313,5765,11611,0,1354,1363,0,0,0,0,0,0,0,1049,0
01/12/2016,27/10/2016,E14000896,E12000007,Richmond Park,,London,England,Borough,,Sarah,Olney,F,LD gain from Con,LD,Ind,77243,41283,78,1872,0,1515,20510,0,0,0,0,0,0,0,0,0,0,19258,0
08/12/2016,07/11/2016,E14000929,E12000004,Sleaford and North Hykeham,,East Midlands,England,County,,Caroline,Johnson,F,Con hold,Con,UKIP,88714,32834,43,13144,17570,3363,3606,0,4426,0,0,0,0,0,0,0,0,3869,0
23/02/2017,23/01/2017,E14000647,E12000002,Copeland,,North West,England,County,,Trudy,Harrison,F,Con gain from Lab,Con,Lab,60602,31068,40,2147,13748,11601,2252,0,2025,515,0,0,0,0,0,0,0,927,0
23/02/2017,23/01/2017,E14000972,E12000005,Stoke-on-Trent Central,,West Midlands,England,Borough,,Gareth,Snell,M,Lab hold,Lab,UKIP,55549,21170,30,2620,5154,7853,2083,0,5233,294,0,0,0,0,0,0,0,553,0